P,T,S,R,game
0.076419816,0.2066941958926929,0,1,SH
0.5174159379911227,0.668910522,0,1,SH
0.38099553624712224,0.6177471247123567,0,1,SH
0.45647356534388406,0.5182528344519721,0,1,SH
0.43354042550813143,0.6873100821413722,0,1,SH
0.3309770752675132,0.5614803007353706,0,1,SH
0.13039028801540553,0.9790427655417717,0,1,SH
0.3017824932329909,0.9683625705549967,0,1,SH
0.5153898696262362,0.7862524669124633,0,1,SH
0.21476824092942826,0.6154372609420655,0,1,SH
0.1437609372695272,0.3374764245543922,0,1,SH
0.059207938,0.5582553409826627,0,1,SH
0.23570399021385335,0.9067926559798438,0,1,SH
0.2782122472397419,0.9213723853089433,0,1,SH
0.5640857807396575,0.8394597189920743,0,1,SH
0.009661122,0.4051974050970508,0,1,SH
0.3639034840328832,0.6714495774773408,0,1,SH
0.13108204540012047,0.22276946827104327,0,1,SH
0.2685150436762931,0.6806924745969332,0,1,SH
0.088444131,0.7430516895100627,0,1,SH
0.14851548636069523,0.30712938875052753,0,1,SH
0.10895814468942477,0.43128951019379635,0,1,SH
0.6315016087469485,0.8475002400669422,0,1,SH
0.069107297,0.7389549931220707,0,1,SH
0.13999581510561265,0.4404109956588351,0,1,SH
0.1931223798909727,0.904151551,0,1,SH
0.34642219902392957,0.3712047781245318,0,1,SH
0.7370207443201682,0.7476059302650702,0,1,SH
0.43823802172160264,0.49576258084471303,0,1,SH
0.326288712,0.4571048073696524,0,1,SH
0.30404194234224047,0.7583376820263683,0,1,SH
0.5689411143939345,0.8829025614566821,0,1,SH
0.17249523147888657,0.4969476821358474,0,1,SH
0.559749993,0.833633162,0,1,SH
0.098835527,0.3907245365527461,0,1,SH
0.048390213,0.2720742217315042,0,1,SH
0.2323563943713418,0.9294499404234156,0,1,SH
0.098628123,0.6046255143665284,0,1,SH
0.20291157004537808,0.7546849310909807,0,1,SH
0.075938912,0.8820970842163316,0,1,SH
0.044616288,0.3717478625159467,0,1,SH
0.662696861,0.7827555899571155,0,1,SH
0.31061360544867744,0.7969250654449116,0,1,SH
0.3196571499280949,0.645540981,0,1,SH
0.20565572396195142,0.3670419750145202,0,1,SH
0.7831740844219719,0.9768813478605107,0,1,SH
0.14009770715193115,0.9507941444280106,0,1,SH
0.2346416707091683,0.906949134,0,1,SH
0.44756137137070384,0.742033241,0,1,SH
0.4273710706047893,0.8537347882561328,0,1,SH
0.14440215869887219,0.7140436309300848,0,1,SH
0.42879338454817684,0.6624080543477735,0,1,SH
0.5631158429617371,0.7962045026329825,0,1,SH
0.6962341102527008,0.7522322344669381,0,1,SH
0.4891293000999104,0.8305809903197308,0,1,SH
0.28776304976042955,0.5618852837887138,0,1,SH
0.018405592921744374,0.9873035548436782,0,1,SH
0.4425222976867689,0.7428328968633036,0,1,SH
0.2743375185549122,0.6421392711299494,0,1,SH
0.8602819340396732,0.9423491284335148,0,1,SH
0.29300763669538954,0.8438363957038961,0,1,SH
0.071643273,0.9280261623972683,0,1,SH
0.35350706280223254,0.7385753758821889,0,1,SH
0.6734082303501092,0.7637636908727137,0,1,SH
0.023303576902414358,0.023713011955640795,0,1,SH
0.081692998,0.8189082867745583,0,1,SH
0.17254370223358073,0.31754151986603074,0,1,SH
0.12549623770195306,0.32234368351371834,0,1,SH
0.43028160296185547,0.4893855891537997,0,1,SH
0.507471149,0.7572570270121213,0,1,SH
0.092968877,0.18705344901368393,0,1,SH
0.24089970322797916,0.9592669218972065,0,1,SH
0.1855686979752258,0.7471069901503644,0,1,SH
0.41973048258352663,0.6318644562228994,0,1,SH
0.16203647272582744,0.7765553219810784,0,1,SH
0.031119399756845523,0.9944828687432212,0,1,SH
0.3168506357355716,0.4704736155178164,0,1,SH
0.10098064471172852,0.8880710521069928,0,1,SH
0.4346933112223421,0.9287154712860652,0,1,SH
0.4736662475896056,0.7402518178167807,0,1,SH
0.3826662669563552,0.9970844423638465,0,1,SH
0.7638225522236937,0.7710334923132611,0,1,SH
0.087640691,0.566850297,0,1,SH
0.31796555907584456,0.8904937801722379,0,1,SH
0.5406049724528519,0.8768577364575505,0,1,SH
0.15608319657775427,0.882029187,0,1,SH
0.5839289794841587,0.7263170277253579,0,1,SH
0.18241253846931116,0.7689335028067035,0,1,SH
0.2251323828893521,0.5769464743384434,0,1,SH
0.46480721615504095,0.9461153284085433,0,1,SH
0.2741127500923344,0.4150797589721009,0,1,SH
0.4033319642068536,0.6978351241379792,0,1,SH
0.3712683140503914,0.6616977947192828,0,1,SH
0.3416499651465936,0.6694046385544081,0,1,SH
0.12155610957747065,0.7849723992586701,0,1,SH
0.7615105536878684,0.9633324130499499,0,1,SH
0.061167129,0.16187105698522775,0,1,SH
0.19407697759549136,0.7448099545752855,0,1,SH
0.4287648206736119,0.5585707910816153,0,1,SH
0.1442399713740916,0.8113344193164012,0,1,SH
0.4737481749931689,0.484215744,0,1,SH
0.5742702283871004,0.8805402921146435,0,1,SH
0.068215087,0.42108954792272457,0,1,SH
0.820996368,0.8463827793947178,0,1,SH
0.17260216238848125,0.6958506017464217,0,1,SH
0.19847521001409962,0.8224020699065779,0,1,SH
0.26419444583997875,0.7363644911031295,0,1,SH
0.7228276438692696,0.799750567,0,1,SH
0.082537368,0.5988583795867264,0,1,SH
0.5144270489615084,0.7314353803565212,0,1,SH
0.3697364993767698,0.3998995177707074,0,1,SH
0.34633958104956064,0.8454072336650351,0,1,SH
0.16072154961104346,0.8007399774026847,0,1,SH
0.3651468097463324,0.5053917525919076,0,1,SH
0.4177971917947152,0.8717252904769666,0,1,SH
0.23359513315232383,0.6486139010739254,0,1,SH
0.4867397449013042,0.5390158838796038,0,1,SH
0.820093437,0.8371567221551399,0,1,SH
0.8499093040227701,0.9190696404085659,0,1,SH
0.3869311024144326,0.9648150629494281,0,1,SH
0.040324162,0.9872211446128218,0,1,SH
0.062365868668747604,0.6517555700920306,0,1,SH
0.052545224442305694,0.8154848789648446,0,1,SH
0.049207898,0.6426251531925293,0,1,SH
0.32474689513115806,0.9152150771580052,0,1,SH
0.3034983311190744,0.9437033581942238,0,1,SH
0.004984939,0.19448104914114595,0,1,SH
0.3384958008227681,0.563933862,0,1,SH
0.12260867869416003,0.15821289000742245,0,1,SH
0.674371141,0.7622445674289646,0,1,SH
0.2189311308665154,0.9838726594932719,0,1,SH
0.4040617137229181,0.7189728118881302,0,1,SH
0.8600727982049077,0.8655743550085329,0,1,SH
0.16570739858754857,0.6194501713849685,0,1,SH
0.8226044118991482,0.8455478845680071,0,1,SH
0.002398446,0.9158923111826007,0,1,SH
0.000896891,0.42898013960363657,0,1,SH
0.1297374218422791,0.5228998569231662,0,1,SH
0.10912221966707558,0.9278663475929882,0,1,SH
0.17938068677559427,0.6106981395374074,0,1,SH
0.12632882520772837,0.6872220041817989,0,1,SH
0.064869771,0.10394247842795656,0,1,SH
0.15089404549439367,0.991782525,0,1,SH
0.6076036482545355,0.7630503598464224,0,1,SH
0.033806712361971414,0.7421138323218854,0,1,SH
0.7979762351020374,0.8908429740322461,0,1,SH
0.6547398646975633,0.6931806512275642,0,1,SH
0.40949075138058166,0.9606400967430764,0,1,SH
0.076996544,0.7748425747738947,0,1,SH
0.7652034326674595,0.8099810283525029,0,1,SH
0.075817612,0.2608286682654255,0,1,SH
0.19554325234856185,0.4014299514989743,0,1,SH
0.5001114027136335,0.9419481774707177,0,1,SH
0.061870419,0.3264339566618468,0,1,SH
0.6522493718963924,0.7973440667561844,0,1,SH
0.40362919264271624,0.43178664070067696,0,1,SH
0.5045724363997746,0.7065789637834543,0,1,SH
0.3395574693355017,0.9621619928716161,0,1,SH
0.3017704850851197,0.7253622729948042,0,1,SH
0.3094521279667022,0.39217880123810334,0,1,SH
0.2619477352447417,0.5593928433111748,0,1,SH
0.004271075,0.112417723,0,1,SH
0.13876959113520293,0.8238292646709116,0,1,SH
0.8347093399208776,0.8733942449380634,0,1,SH
0.15870200506765264,0.7386765073102355,0,1,SH
0.27770269962187655,0.9665437740630223,0,1,SH
0.3564949538391875,0.5122380323707953,0,1,SH
0.37722906818894364,0.880108469,0,1,SH
0.094708107,0.8867697988445662,0,1,SH
0.7543193757048039,0.8235777434310039,0,1,SH
0.16773010324085225,0.2815878869709112,0,1,SH
0.5620662556286264,0.7189120907631941,0,1,SH
0.3736916461781401,0.738172447,0,1,SH
0.2854551101150369,0.936317055,0,1,SH
0.000635313,0.16910045600855805,0,1,SH
0.3013365986627694,0.4212471602782899,0,1,SH
0.31117451446411093,0.6210295891604019,0,1,SH
0.12374229672302461,0.295868928,0,1,SH
0.43071685643807944,0.7071465940639117,0,1,SH
0.3672727747479314,0.839052766,0,1,SH
0.8007560202893445,0.959377594,0,1,SH
0.3211254580328258,0.6134929924044734,0,1,SH
0.3299711732739441,0.6455826158977431,0,1,SH
0.19619589807017768,0.8637218378898481,0,1,SH
0.6759152021181989,0.6768271704803173,0,1,SH
0.2909538686733468,0.8459840885729306,0,1,SH
0.29020379941218466,0.3461359903503536,0,1,SH
0.28117204027538656,0.9213446706813859,0,1,SH
0.20776880294550604,0.9005587113493361,0,1,SH
0.1711341579645005,0.5034021084036286,0,1,SH
0.7416959298447532,0.9570367547031926,0,1,SH
0.072933862,0.5119660575502789,0,1,SH
0.081357828,0.2634728045255694,0,1,SH
0.2691483212363681,0.7813198090988811,0,1,SH
0.4570304483466132,0.7901278876240028,0,1,SH
0.2255557264722785,0.5794530739150316,0,1,SH
0.010865928524960822,0.035863524,0,1,SH
0.6226929469337283,0.6292377649219216,0,1,SH
0.3276951033237099,0.6765824148414183,0,1,SH
0.08404091,0.46784858318102085,0,1,SH
0.19422178682515812,0.3785418560024789,0,1,SH
0.6290350995183129,0.9716761505869591,0,1,SH
0.4999988145997589,0.7875166449965971,0,1,SH
0.08389817,0.19760123981258193,0,1,SH
0.5092162978902095,0.9952835908236419,0,1,SH
0.6109871328891658,0.7334731680740705,0,1,SH
0.084004074,0.6284428327406115,0,1,SH
0.28256852484406325,0.47250107216987036,0,1,SH
0.296459946,0.5213034767723905,0,1,SH
0.18614441846651508,0.3161128650561842,0,1,SH
0.5104849287461806,0.5690961600416731,0,1,SH
0.16677228154509272,0.6855709446681302,0,1,SH
0.00525906,0.24610273597468546,0,1,SH
0.26666312215700083,0.5859233102964096,0,1,SH
0.086340848,0.9605635299116226,0,1,SH
0.4891886092943032,0.9061201683898441,0,1,SH
0.056864171427558396,0.26423666290678893,0,1,SH
0.4258614443417983,0.9988539538331069,0,1,SH
0.3374312572411624,0.8957007639237453,0,1,SH
0.8880324175823469,0.9321508,0,1,SH
0.3339818495202209,0.7398072971661818,0,1,SH
0.33643654039178217,0.6654326059082318,0,1,SH
0.5592434457651521,0.564912353,0,1,SH
0.5228115496360268,0.6628124736977723,0,1,SH
0.14717535002115234,0.314841053,0,1,SH
0.2993967781901621,0.49365941367447475,0,1,SH
0.204644782,0.29136677330119065,0,1,SH
0.2174166099890109,0.9553159783103069,0,1,SH
0.12844183948923704,0.804147573,0,1,SH
0.4545574774076384,0.926669588,0,1,SH
0.3650314106865886,0.46817731911223404,0,1,SH
0.8758172893369098,0.8879335693341315,0,1,SH
0.18738342320063794,0.9791656092029406,0,1,SH
0.7037654654572596,0.8523491515990562,0,1,SH
0.5548530566457395,0.6370474137130189,0,1,SH
0.37312786463650593,0.5052450231935464,0,1,SH
0.4164478696133196,0.8632911590031054,0,1,SH
0.6256610230566908,0.969169468,0,1,SH
0.6744060770653362,0.8855776825749215,0,1,SH
0.6029272210372676,0.7753460424304786,0,1,SH
0.11350868613013376,0.8723178414600175,0,1,SH
0.6276464322109063,0.9627898957039103,0,1,SH
0.3733193999427402,0.7027967892397211,0,1,SH
0.1534494813822287,0.9432864454329044,0,1,SH
0.065869406,0.801089517,0,1,SH
0.18780051929845065,0.5881355134482644,0,1,SH
0.1690690996635058,0.9177651924039592,0,1,SH
0.20617921133692185,0.4316998090385453,0,1,SH
0.23241601298541203,0.28919808744004083,0,1,SH
0.007511659,0.19313049434678287,0,1,SH
0.5031471571173645,0.9925766004849057,0,1,SH
0.5017962372678424,0.7427600106947319,0,1,SH
0.25768679144826767,0.832226451,0,1,SH
0.46627498353789054,0.5946245233400127,0,1,SH
0.056892586,0.14062777221550093,0,1,SH
0.41684336819448053,0.5657180660732319,0,1,SH
0.023656842784329113,0.5729523820106228,0,1,SH
0.16270596506276092,0.5730406628774005,0,1,SH
0.9157547868935481,0.9551411493521318,0,1,SH
0.47996945557652837,0.6417579879866699,0,1,SH
0.59100505,0.8040142252285247,0,1,SH
0.013019511018516283,0.4884503278455077,0,1,SH
0.33886247330464925,0.5469896322789556,0,1,SH
0.5572825183790195,0.7277142947044106,0,1,SH
0.008777061,0.895257366,0,1,SH
0.3749713107617594,0.5263387960025692,0,1,SH
0.5072604355216561,0.9359232860825972,0,1,SH
0.31322446825481465,0.41067906578016244,0,1,SH
0.4525611660865134,0.7538121206356816,0,1,SH
0.41756066699267813,0.6512418900333785,0,1,SH
0.083866755,0.8135369289759331,0,1,SH
0.2619803377509229,0.584877814,0,1,SH
0.091636572,0.5811264864573293,0,1,SH
0.5324145836982048,0.8385256917265771,0,1,SH
0.6416950579998433,0.8448818108722851,0,1,SH
0.5434354444246718,0.8052170587726986,0,1,SH
0.5808623212369923,0.6542245574203085,0,1,SH
0.8259353908540892,0.9888027464441143,0,1,SH
0.6117977739013383,0.9384371790406985,0,1,SH
0.074738035,0.4970087398486145,0,1,SH
0.28246147286684065,0.5219421054926219,0,1,SH
0.33848650855001683,0.8878751133916059,0,1,SH
0.2083307570805073,0.5460713820960275,0,1,SH
0.8547176648489494,0.9181217060631972,0,1,SH
0.44662057082367723,0.8888615635565484,0,1,SH
0.13197917115998203,0.4703907828170244,0,1,SH
0.6735216725308526,0.9704740677473414,0,1,SH
0.045184368,0.8814233156717197,0,1,SH
0.12291880324285454,0.7081505884874961,0,1,SH
0.8474894632553174,0.8717534422944688,0,1,SH
0.6337396549717724,0.6563834097069936,0,1,SH
